Food Item,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B12 (mcg),Folate (B9) (mcg),Vitamin B6 (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Riboflavin (B2) (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Copper (mg),Phosphorus (mg),Manganese (mg),Selenium (mcg),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Omega-3 Fatty Acids (g),Omega-6 Fatty Acids (g),Cholesterol (mg),Glycemic Index,Water Content (g),Serving Size (g or cups),Net Carbs (g),Complex Carbs (g),Simple Carbs (g),Antioxidants (mg),Flavonoids (mg),Carotenoids (mg),Caffeine (mg),Acidity (pH),Allergen Information,Dietary Labels,Energy Density (kcal/g)
Turkey Breast (100g),135,30.0,0.0,1.0,0.0,0.0,50,1145,117,430,5.130569907158187,88,0.6349904637062731,327,1.467149171407735,5.646268416701687,2.233231824976432,2.2448631101003977,446,2.3126901687399175,97.15089051751262,474,5.2810692569555515,0.9062424656129237,160,0.6269135897260477,21,8.569838057113758,7.249131428523432,7.262425885073709,3.4683851822596106,9.477760314674711,138,Low,803,1,27,20,7,190,59,80,177,5.354450987662728,Soy-Free,Low Carb,2.7098706029814887
Cottage Cheese (1/2 cup),90,11.0,4.0,4.0,0.0,2.0,400,1793,48,485,7.804006913166442,29,2.702453777124939,67,0.5292942545449735,5.319119350330522,2.037063348249238,1.3111531170192379,261,5.751997061855298,238.38485499994914,599,9.299034001286403,1.8398135650981113,644,0.4900326775774313,90,5.461545912071965,1.6022877602200503,6.933970262725346,1.94706771274552,7.210651073028873,105,Medium,285,150,22,28,-6,320,55,198,208,3.017355429625137,Contains Artificial Colors,Keto-Friendly,3.1403304949176087
"Quinoa (1 cup, cooked)",222,8.0,39.0,3.6,5.0,0.9,13,3536,24,948,9.080798414283711,132,1.5239559378501564,61,2.3422877603616836,7.445509470048473,4.435726075264247,2.236290438151885,304,2.905830948882383,237.11413581001298,192,8.242573881345699,1.0460823014516518,509,0.7920254740803573,43,4.116507968016315,7.021135501716856,2.0448195025057956,0.14543809294487176,0.8238125202127833,98,Medium,764,1,33,19,14,182,44,167,130,4.139126139190969,Nut-Free,Low Carb,3.1716247553917905
Orange (1 medium),62,1.2,15.0,0.2,3.1,12.0,0,662,129,532,1.612347012325263,76,1.9355851097585677,229,2.4521720483991434,10.465775671672022,3.0374016435129496,0.4293371688348592,460,9.578403107922883,44.775678233763045,559,3.5703029559020374,0.8577895681955359,127,1.3352968194031387,45,1.0782367385194702,6.922553895959047,0.5850715144943641,4.654864571214222,6.706377463264456,7,Medium,506,150,32,13,19,331,29,179,230,5.574318292051657,Nut-Free,Vegetarian,1.8637357225623639
Tofu (100g),76,8.0,1.9,4.8,0.3,0.6,7,2585,13,986,2.722046131732439,92,3.286578649536697,172,0.9445655332771705,9.334687668599933,2.823999538562697,2.437433960416605,331,0.7719963414387019,52.554700845434766,676,9.831513332879116,1.5257389614723331,483,1.737188173769563,52,3.9341357635042415,4.593044789912889,5.460067515335875,4.745638404582032,6.4692669796568545,86,High,941,150,13,31,-18,204,67,83,91,6.248997382929799,Contains Artificial Colors,Paleo,3.078028038056088
"Mushrooms (1 cup, cooked)",35,3.0,7.0,0.5,2.1,3.1,8,3454,102,951,8.820993550305955,12,1.4959145142075365,295,0.9162120691927456,5.147190776848381,3.771400637877939,0.8343016967628364,15,2.397418661056747,217.04177687965338,420,7.231893804133744,0.239032687659204,429,0.35094968645990243,86,7.339364547332842,1.352286541180523,7.00305592314476,4.745765266740255,2.1878874580758345,83,High,888,100,43,11,32,349,26,34,30,4.249474612159377,Dairy-Free,Keto-Friendly,0.8043721415231394
Peanut Butter (2 tbsp),188,8.0,6.0,16.0,2.0,3.0,1,325,162,74,5.804342944417215,191,1.8960108018184583,271,2.0074403531242595,3.4785767889287427,3.109254072264907,0.8218940643723217,30,2.801950760680753,104.2626205419326,109,1.093268878834427,0.270008927666593,489,1.6462241367943098,32,9.212864116801073,3.148008261340367,9.98251790186256,4.718435433233583,7.584467000075756,10,Low,703,100,14,19,-5,254,94,91,248,5.589745477155415,Egg-Free,Paleo,0.8054582524603431
"Spinach (1 cup, raw)",7,0.9,1.1,0.1,0.7,0.1,24,4993,150,702,11.208428825692272,73,0.5410472442820433,422,1.006758797658669,1.2389784372377122,1.231320401407019,1.8121047990911963,82,4.433644344794256,11.04975574792224,402,0.8340267762420674,1.3387500564536252,388,1.6443644498710908,81,2.516794038603103,3.2009310907555144,3.5861105228117074,4.0762097053478055,0.8706470331296712,70,High,655,150,6,29,-23,437,95,80,123,4.061031720603385,Egg-Free,Low Fat,2.14480084060244
Whole Wheat Bread (1 slice),80,4.0,14.0,1.0,2.0,1.0,140,1059,170,166,10.132083080287156,49,0.7447961600145151,100,2.29015311832369,3.925301534663573,3.5338893028921836,0.30334233266627,339,2.7109372977655086,75.72923672928904,421,2.0998755155952846,1.0251873551545716,473,1.2151467775211635,54,3.5523551733050263,7.0038513314329345,8.963645620810967,3.4229802505816345,4.894451812312478,93,Low,713,200,17,39,-22,338,42,66,135,5.761519578516944,Egg-Free,Keto-Friendly,2.455533855368807
Cheddar Cheese (1 slice),113,7.0,1.0,9.0,0.0,0.3,174,4648,25,531,12.838461081858696,68,1.275774773404352,120,1.6478582722459645,14.401771033688247,1.1006099567695782,0.17626340738553886,45,5.16781635755346,153.4309583669344,916,7.414630746476394,1.6017889756064994,218,1.5452310851982487,5,1.539609941044262,1.1374301941372433,3.8193245586918643,4.222549591336428,0.09923207163087922,122,High,814,200,42,24,18,377,13,169,272,5.79179199464985,Contains Artificial Colors,Low Carb,0.9589813279352081
Tomato (1 medium),22,1.1,4.8,0.2,1.5,3.2,6,3167,179,441,10.694899573369154,192,0.5835567224632232,97,1.2015552460206242,5.6291328175660755,4.126359674003279,0.8569831293510028,396,8.788422470956121,201.82383183039232,555,2.245519795503065,1.8409145909527098,311,0.44557332648801595,54,6.907228942289688,8.290686462160908,6.894117084305128,3.002731195005181,9.687374888947463,140,Low,116,200,31,10,21,205,41,59,99,3.5208938620783603,Gluten-Free,Vegetarian,1.9165401344179789
Cucumber (1 medium),16,0.7,3.8,0.1,0.5,1.9,2,915,117,966,7.019035083462073,71,2.394125978144753,68,2.16538749269884,9.903434392308686,4.9538146897052195,1.6603958971309858,242,7.264602503387122,42.01326810238229,377,5.359124307483919,0.8378970675759403,628,0.4222134015593555,23,9.601884300099252,7.610072901859139,5.9825293051705195,0.6718480694601181,7.5156363177690935,105,Low,225,200,45,5,40,71,9,84,218,5.66035913590802,Shellfish-Free,Vegan,0.7830880034477692
Pineapple (1 cup),82,0.9,22.0,0.2,2.3,16.0,1,4854,135,586,10.421532713522053,141,1.7791950704048676,311,1.4868134008267904,12.23472182954165,2.1982443123864934,2.732087520053159,225,6.009638815083555,36.52992746001648,697,1.3859711417179015,1.233179050510828,278,1.7393200648445815,63,6.409522198481755,1.8630691817427392,0.5297879330259692,1.9560908252071052,1.5885207615965602,48,Low,559,100,24,37,-13,34,86,147,103,4.334268726721479,Nut-Free,Paleo,2.306298456659931
Grapes (1 cup),104,1.1,27.0,0.2,1.4,23.0,2,4742,64,128,4.85533643957586,69,2.1444356081840663,133,2.323265827416951,17.849977153800534,2.5014015419090567,2.55466201129119,479,1.3455301908354567,231.3022368573596,637,9.248418499386853,1.0513235928110887,210,1.0464820307456772,72,6.170765300062263,7.191643817788894,0.783884269702585,4.8564745598646875,3.41674039951283,6,High,664,1,44,34,10,61,26,159,96,3.6903797263705096,Contains Artificial Colors,Keto-Friendly,3.0652821102585435
Strawberries (1 cup),49,1.1,12.0,0.5,3.0,7.0,1,3220,179,629,5.288388982894977,125,1.0239415576889885,204,2.356028473458762,17.88824686947497,0.7089514496726554,1.5222947337708288,215,7.092925029698118,190.27560827741985,829,3.767625829043892,1.9650602457206225,476,0.5672807070804132,71,5.534899305004339,6.685131814678218,0.20764089724460977,1.7556890679782815,1.6056237780817628,100,Medium,140,1,14,10,4,59,16,50,202,5.001444931095097,Shellfish-Free,Keto-Friendly,2.712916928058571
Kiwi (1 medium),42,0.8,10.0,0.4,2.1,6.0,1,116,43,222,12.045792238891107,84,1.3877960883098484,102,0.8308403042568187,15.16894093994582,0.5617993463716022,0.20745078171112902,435,2.080935700953929,151.54710418673884,492,9.127254537325992,1.679060373977531,171,1.4085876794520151,45,0.8845574068553652,7.4812080011092625,3.7083408459398948,4.339139568656847,7.666174641293146,50,High,754,150,20,29,-9,387,64,56,20,4.809186735634885,Soy-Free,Low Fat,1.634874657287814
Watermelon (1 cup),46,0.9,12.0,0.2,0.6,9.0,2,1343,167,61,7.249873229622151,131,2.4914734245581753,156,0.5046468122638605,1.6679828489215272,4.646387006943474,1.6522329304249965,438,7.9704901666361305,194.60482959902274,194,9.47631859815017,1.8323016457269719,198,1.7945628171750199,14,7.2950382642938365,1.8892855544869447,7.458010487660108,0.4660573538743479,0.5889632542771517,4,Medium,215,200,19,34,-15,394,48,151,197,6.095499244247987,Shellfish-Free,Paleo,3.481381389911365
Bell Pepper (1 medium),24,1.0,6.0,0.2,2.1,3.5,1,2305,22,849,12.177324767256934,116,3.3959081708911993,406,2.4678618802848042,11.926337962622883,1.0788082719763643,2.143907239783357,53,2.8755392058464553,112.92504671359323,855,0.5582221494799675,0.583246166397448,160,1.3014130272940747,32,6.020495435493508,1.5759032215646862,1.727553939907227,1.6709192118773482,8.404066555637142,12,High,651,100,17,38,-21,304,26,140,111,3.338062036644874,Gluten-Free,Vegan,2.4888049293984102
Zucchini (1 medium),33,2.4,7.5,0.6,2.5,3.3,3,2624,150,177,12.513913231355899,105,0.6512503208066276,353,2.312275072254959,15.945085945798624,2.5060043640176164,1.0835771443225979,100,4.461962919048558,192.02937935419038,206,4.909284278387954,1.5678002040089292,270,0.7599555815860327,38,6.61476768856287,2.3648398592275424,6.058529683838958,1.7547666236368982,9.421963388357298,41,Medium,887,100,42,36,6,61,10,87,148,6.159013075327124,Gluten-Free,Vegetarian,2.9457453033274374
"Chickpeas (1/2 cup, cooked)",135,7.0,22.0,2.0,6.0,3.7,1,1169,27,657,13.005872727257973,100,3.1711529625657984,184,0.6108904714076828,1.328472850503901,4.169095807350026,0.42208357951679865,426,3.8294669220203152,99.23271790588858,489,0.7342325292154824,0.6043991274955329,113,1.0181517540567275,43,8.988110930274216,3.658717031489757,2.888277800310779,0.2580127155449008,6.766279428062999,124,High,876,100,24,27,-3,341,31,62,242,3.4243294484371827,Nut-Free,Keto-Friendly,2.509092161875198
"Lentils (1/2 cup, cooked)",115,9.0,20.0,0.4,7.8,1.8,2,3544,169,141,13.832893301776902,167,2.2306436039336255,492,2.16606852788214,11.444007659474988,4.501934419677438,0.9078470642964123,325,8.65873218941114,68.58269739822457,859,9.132581279877606,0.49661081351394076,687,1.529311975796145,87,7.839607870610179,7.936649810358012,7.969926239790722,0.5954716509337749,2.129654500014342,132,Low,829,150,28,33,-5,49,59,25,182,3.8298361123162477,Egg-Free,Keto-Friendly,3.4682488732613797
Coconut Oil (1 tbsp),121,0.0,0.0,14.0,0.0,0.0,0,2665,105,702,7.033793087186147,139,2.1917587002668713,118,1.4156098651184132,17.29751876993456,2.8372895837756045,2.3376077069566605,479,1.7021723577773773,184.96322111031247,625,5.424871674978471,1.8941057033455466,403,0.2282523348575363,60,7.80915252154526,7.3792393747885,7.983961490029909,0.9658260556088549,3.600900958135508,61,Low,487,100,45,15,30,241,19,128,283,5.063528473318684,Dairy-Free,Paleo,2.9640793016533187
Butter (1 tbsp),102,0.1,0.1,11.5,0.0,0.1,31,1160,132,592,5.464135456495944,71,2.0008356056232808,60,1.0179232100499505,10.00793944100307,3.042646362391774,1.1186071136216522,102,5.873626382655492,110.7213501177444,772,1.2119681206357198,0.13667839176394664,523,0.5126125803172403,56,9.271837688793475,9.25451592278533,7.754145149664236,4.189077954050565,4.772398748089312,128,Low,100,150,11,17,-6,69,68,198,299,4.852698400089698,Shellfish-Free,Paleo,2.0582696536863216
Olive Oil (1 tbsp),119,0.0,0.0,13.5,0.0,0.0,0,2427,48,895,9.150782452317594,58,0.7081822577125502,192,2.2574930473538597,1.0780178550515207,3.5135778760847263,2.4547463229885595,476,1.8495852897090912,245.53050503828678,170,1.5476289186273853,1.9342385369605164,534,0.9789080546339496,7,9.899349514629996,0.5862955909861545,5.2483351380137675,0.31700994969903196,6.046247722022537,73,Medium,727,150,27,15,12,225,21,37,88,6.955435898936193,Contains Artificial Colors,Keto-Friendly,1.6006386885127695
Chicken Thigh (100g),209,26.0,0.0,10.0,0.0,0.0,82,3520,55,581,6.196413928126786,146,0.769630555208482,241,0.8933344647806145,1.2092538083765416,4.826221115646718,1.02661221024168,348,7.195560443255773,93.87644375394424,763,4.143335732681021,0.3835976042787318,62,1.2480578317844875,27,5.812827319610596,0.11556281014185599,2.845667100798517,1.4935045067219361,6.686630898116874,113,Medium,735,150,28,35,-7,466,7,172,221,5.357894853049757,Contains Artificial Colors,Keto-Friendly,2.546464487446527
Pork (100g),242,27.0,0.0,14.0,0.0,0.0,60,401,38,707,9.415038335203262,101,2.302736016977258,436,2.3945999988401336,8.91608471086126,3.212014824250273,0.5743096114000725,463,9.098242214047572,231.2145809274558,686,9.43222483229245,1.6569323554072095,202,0.7444146229804164,21,1.0888161603116575,6.991388297007991,8.094440438786346,0.05087501294633756,5.542147153188828,53,Low,788,150,33,33,0,375,14,139,247,4.309742380987656,Soy-Free,Low Fat,2.2706654264210266
Beef (100g),250,26.0,0.0,17.0,0.0,0.0,72,4376,199,877,10.878202077013544,168,1.522875714306675,427,0.9112429753986822,3.945164680918337,3.017638667553558,1.363960242589464,92,4.6287727117389075,233.91101165609908,475,7.082636939896768,0.6242528508293959,288,0.6669427515527733,75,4.591299077754364,2.792874957941657,1.8610056193924152,3.4781387270151236,3.5131392082185577,115,Medium,315,100,9,27,-18,349,67,70,176,6.600595474175942,Nut-Free,Keto-Friendly,2.388051773082636
Apple (1 medium),95,0.5,25.0,0.3,4.4,19.0,2,706,71,496,10.637670258889916,133,3.251804199733042,118,1.727366375457487,13.624562484771932,0.565403608696958,1.411596085638503,342,5.136876472517271,68.04470729553907,826,8.742379228796757,0.766334422118382,239,0.17862997182947046,30,7.876011464616443,3.3407889553381755,2.89759602028656,3.101515450216899,8.90917280564903,130,Low,570,100,47,25,22,206,67,193,117,4.248859827130015,Dairy-Free,Low Carb,1.5290352988512708
Banana (1 medium),105,1.3,27.0,0.3,3.1,14.0,1,3270,194,439,6.243740418281699,70,1.7197716120784168,72,0.9461726690579497,14.467186033216926,0.8642736591006024,0.14671383379307723,291,9.310516946586242,201.5730835811232,467,3.9813381402298065,0.5118396515117714,135,0.16194336689775032,22,0.2772532476184919,5.468020259145122,1.8394770616062162,3.2249113102657088,0.8139205801795824,82,High,136,1,49,5,44,285,93,64,173,4.09510254075316,Nut-Free,Keto-Friendly,1.7861852617116636
Chicken Breast (100g),165,31.0,0.0,3.6,0.0,0.0,74,799,25,721,3.3360428237825395,57,0.9298443761079233,230,1.5913373299372695,4.379716113751943,3.097272319807983,0.43943071084834584,479,5.449418192168893,113.93788123469564,150,0.910530145724984,1.2124766807140512,70,0.6295202231753686,50,0.5688743835614907,1.024131231267985,6.742101603876477,1.8719139235730937,4.66256054243495,129,Medium,655,100,39,18,21,350,66,27,218,4.977487180795437,Nut-Free,Vegetarian,2.1742897246719495
Broccoli (1 cup),55,3.7,11.2,0.6,5.1,2.2,64,1239,193,910,7.0274107384709055,162,2.6441565005061083,342,1.8679502598302826,17.88213248196521,4.713081745132414,0.6362854544411706,30,5.1321851614708285,230.20593453528355,997,9.756017553441934,0.7613815402649607,368,1.1079615901701318,74,0.6715778238282133,6.4269441654804975,6.862360281158181,1.0413391063378452,7.7556483846748066,48,Medium,101,200,5,4,1,11,89,58,217,6.652699137892316,Nut-Free,Vegetarian,3.017850205765529
Almonds (28g),160,6.0,6.0,14.0,3.5,1.2,0,290,130,92,2.9963180171467223,173,1.3800602643230295,58,0.8804558616402751,9.396249054599592,4.400111067797278,0.42940322039815715,237,5.99412647569089,118.02982543245732,242,0.6631434112925108,1.34904677503986,207,1.157105843246282,35,7.310357583283108,3.251474462311502,6.52509992786753,3.6016010664301668,0.608726652914009,30,High,228,200,40,25,15,478,13,111,76,5.834057021035354,Nut-Free,Low Fat,2.7887267532887092
Oats (1/2 cup),154,6.0,27.0,3.0,4.0,1.0,0,2400,19,303,13.461358492573316,145,2.0764109220676796,320,1.5417715654013584,3.714072244246551,4.92160515346492,1.090425618721955,385,7.0476824954480435,188.63289216096786,518,9.502690704270346,0.12972990408992535,530,1.0386522364470507,97,5.011666285631721,6.327151243009917,4.156014668646678,4.055589363703476,7.053352168113012,73,Medium,327,150,22,36,-14,115,28,51,87,5.709932861869322,Egg-Free,Vegan,0.8559676115083711
Eggs (2 large),140,12.5,1.0,9.5,0.0,1.0,140,1080,167,179,5.842284450330004,67,2.59349835651551,436,1.438119488780238,15.520780363318513,2.875253169025733,2.8974062812893524,139,1.515392063326798,122.07217819931148,647,4.002435526566875,0.22231227867857528,125,0.8787732996053851,13,3.688979435205936,8.340069130733859,1.0017100720143324,0.6930074904910088,8.19711622753325,116,Medium,288,150,10,32,-22,225,36,16,77,5.904309060155052,Contains Artificial Colors,Paleo,1.2366627500581755
Salmon (100g),206,22.0,0.0,13.0,0.0,0.0,50,3075,162,109,3.162436461126533,110,3.200792333606211,142,0.6420748428066825,16.009515500318685,4.045689222969951,1.5767453611485263,184,8.300550013544402,64.67218137108549,599,0.5958588477078745,0.2893561901893724,378,0.5793540195965095,39,1.0561704526173599,1.7111133333742967,9.111695845150212,2.4341471396871066,6.608312985270523,2,Medium,634,150,27,12,15,274,7,141,200,5.638562443103552,Gluten-Free,Vegan,0.5799731747990823
Avocado (1 medium),234,3.0,12.0,21.0,10.0,0.2,11,1284,112,712,1.3562686386805123,121,2.8765735844050284,66,2.136615635350606,13.146613980643693,4.281801491702032,1.9199124692248748,117,4.6372977608059625,57.84403094672471,985,7.046993701382829,0.896088002089439,465,0.861319420026286,85,7.322402502058891,9.308730929145202,5.077309640122381,1.2435784098943126,0.12936892275355993,123,High,388,1,14,3,11,176,37,180,63,6.039185438671783,Contains Artificial Colors,Keto-Friendly,0.5238817038967742
Sweet Potato (1 medium),112,2.0,26.0,0.1,4.0,5.0,41,3427,93,516,10.041513408010779,182,2.529083203618172,203,1.1713648012856834,17.21584551084851,3.4161424579888777,1.1335207877167819,423,1.1873108440261126,112.10348662152293,266,9.815132888297864,1.6481127280539545,252,0.36364393423247565,64,3.2101981055089968,5.306881410624438,4.069721949110915,0.8405343060306686,1.8013702713220625,84,Low,121,150,11,24,-13,256,47,68,3,3.771048086916534,Contains Artificial Colors,Paleo,1.1731264078407253
"Brown Rice (1 cup, cooked)",215,5.0,45.0,1.6,3.5,0.9,10,3494,142,336,9.916632444366405,71,2.538899547185431,454,1.6491643951037591,15.010086468582754,2.024374568965283,1.0381145087651236,292,7.968735357383024,191.3187176834116,847,9.67344436695713,1.7875380297189272,278,0.3189925351494699,80,2.6532407006466716,9.229277651739684,5.888248932482933,3.6716265674749953,3.4211307889195073,63,Low,423,1,48,35,13,423,16,58,82,3.709033147046406,Shellfish-Free,Keto-Friendly,2.897962844027989
Greek Yogurt (1 cup),100,10.0,6.0,0.0,0.0,6.0,40,227,74,566,5.768458332138083,48,3.3377739320962596,377,1.5295684698662688,17.76190900731282,2.614902955960075,0.16712563855352425,80,4.081024731019585,155.21715644338403,359,2.0289016064229752,0.5651404061157114,201,0.6698921879462036,67,6.52319201553551,2.077300822017781,1.9279043581910582,2.690484677364185,2.3369003563804593,17,High,629,150,12,27,-15,447,97,69,192,4.448653375165615,Nut-Free,Paleo,3.2142429745231613
"Spinach (1 cup, cooked)",41,5.0,7.0,0.5,4.3,0.6,125,2165,186,516,2.003966443867114,67,1.3874722924896081,198,1.5265210091408845,9.24387292122411,4.360626825096055,1.550967601460465,413,1.4534912034030123,175.2710295761304,291,2.2218541576284725,1.1913024760541266,121,1.9911627132117173,56,5.590108925968417,6.0456266460423755,1.325487791048744,1.0809266618933389,9.626521402274275,33,High,566,200,17,24,-7,219,89,15,5,6.40383911518333,Dairy-Free,Low Fat,1.6753050976957944
Carrots (1 medium),25,0.6,6.0,0.1,1.7,2.9,42,1916,12,979,6.734804528533248,108,0.5033362825885622,426,0.7144447884169749,15.204345433889406,1.8434656669197378,1.5024661195798323,59,6.52090087566088,77.75832417566619,301,5.872619688886771,1.559893486115941,274,0.720344200281157,52,3.6241064181330165,4.038871173236047,4.055252214579435,1.5500000560577254,6.515939141137936,55,High,900,150,34,18,16,67,36,157,192,5.857816861986839,Shellfish-Free,Low Carb,2.1895957898200358
Turkey Breast (100g),135,30.0,0.0,1.0,0.0,0.0,50,669,182,827,5.35704493088751,53,1.315863678194596,316,1.3469640184986655,19.995279705151844,4.656844090699918,0.5577091059252568,104,8.861247857619595,125.54448302982533,873,6.554395851069082,0.6487759168472564,522,1.8792671416746998,65,6.414874708055881,7.742221911560132,2.272206940999105,4.833268356638712,2.9697095735157033,66,Low,287,100,22,32,-10,437,24,40,216,5.265893371371076,Dairy-Free,Low Carb,2.6181578058661423
Cottage Cheese (1/2 cup),90,11.0,4.0,4.0,0.0,2.0,400,1995,151,394,10.479688956290131,38,1.1536741388802318,471,1.4047335184131404,14.773692752872766,1.534128536401993,2.3165396005994405,288,8.93365833943287,20.654863592638478,284,7.524470179825723,0.8771146997989191,692,0.8452980769586186,28,2.7122152038411818,6.059089432132963,2.4429029453716455,4.243397823542783,9.296974986654456,90,High,515,150,18,20,-2,52,71,125,21,3.0777897499124793,Dairy-Free,Low Carb,3.3588100977551796
"Quinoa (1 cup, cooked)",222,8.0,39.0,3.6,5.0,0.9,13,2833,129,691,9.480909492337664,68,2.4855037553419947,377,1.967285680728897,3.169491824505511,3.872823868205513,1.5287555579019085,406,9.597803010685245,206.20777982994895,257,2.2199784244854013,1.0955509851028564,409,0.9341189832792578,78,7.948302616043268,4.945154569583185,8.925114877785294,4.399733714365642,7.405941994761869,66,Low,170,100,15,26,-11,147,72,159,144,3.943209135743466,Gluten-Free,Low Fat,3.238796711892295
Orange (1 medium),62,1.2,15.0,0.2,3.1,12.0,0,3963,167,431,6.10431219476556,80,2.401134799296587,155,2.180037663841397,10.848055726154477,3.3375165545558225,1.0830825134685624,346,8.743201867783537,247.57411893756992,857,9.610567324262128,0.35626220817529064,589,1.614419478084236,62,2.2931895030765395,9.129854064310086,5.307591771858249,2.30006048540354,2.8460721182704196,109,High,462,100,46,7,39,118,21,94,284,6.214055770199596,Gluten-Free,Vegan,0.6715769101441398
Tofu (100g),76,8.0,1.9,4.8,0.3,0.6,7,4821,77,828,4.050495759569861,101,2.2803841481141713,430,1.589964556200036,12.15960803361753,3.87319748504343,0.5260358361664882,141,0.5203387337820147,107.65097502992101,721,6.56802293474776,0.1493663580789826,658,0.27791282215016777,68,1.5883769538201564,3.771170641716802,4.834690643233511,3.1190363196043753,3.788815694019554,39,Medium,772,100,42,39,3,498,85,169,144,3.9699467723368747,Dairy-Free,Paleo,1.2444975296278424
"Mushrooms (1 cup, cooked)",35,3.0,7.0,0.5,2.1,3.1,8,4114,155,739,14.832503526178286,18,0.5487303296283611,84,0.673565908129981,4.3100028263564285,2.4680640759466765,1.7012663982159362,407,4.112291080927207,12.631276751570404,198,8.546945729270272,0.3903310377047382,95,0.44639531482791506,34,7.824394094988749,2.199802048981815,6.8947959372859735,1.883838701022058,1.9942885830395674,146,Low,823,100,17,25,-8,57,23,56,1,5.921160788763789,Egg-Free,Vegan,0.6474336318655313
Peanut Butter (2 tbsp),188,8.0,6.0,16.0,2.0,3.0,1,3001,199,302,7.356022696745608,136,2.686334163351942,168,0.9736989411930925,19.294941049382714,4.696884781492931,2.283169375657548,285,8.276154509102279,50.750233492227366,340,5.630624295199632,1.2910218803817135,50,1.9502965034529078,33,7.078920306979332,6.081011868520917,9.515481136767397,0.3885598784444527,9.710739982658218,132,Low,886,1,46,29,17,135,8,171,287,3.738537059719536,Gluten-Free,Paleo,2.3496272629671537
"Spinach (1 cup, raw)",7,0.9,1.1,0.1,0.7,0.1,24,1786,46,976,10.635839300923319,143,1.4705912374564747,63,0.8298680537054621,4.33601577505771,3.3461249108516484,0.9177981227864178,389,3.979403556985505,166.60645066010053,590,4.4356300521038845,0.23987469691399518,294,1.0612429459253199,14,1.8263897570179843,6.240284371728137,1.1219856447056409,2.0053465532839128,5.172964958900732,141,High,619,1,48,14,34,478,97,164,224,5.4254702327974345,Gluten-Free,Keto-Friendly,2.6314799494179173
Whole Wheat Bread (1 slice),80,4.0,14.0,1.0,2.0,1.0,140,3109,162,105,2.967741546097051,166,2.4951679670198934,63,0.7492301263782495,4.373600474551233,1.7973311204941533,0.7345036195724953,22,6.214710810607208,156.8990363689262,301,9.783237612652462,0.4604230932152438,268,0.18418839619639757,43,1.1624575268993798,4.390946215718754,8.335345671092572,2.9699037660357237,8.960566874979847,90,Medium,92,150,37,12,25,223,21,53,213,5.512845466802007,Egg-Free,Low Carb,1.4248502370695344
Cheddar Cheese (1 slice),113,7.0,1.0,9.0,0.0,0.3,174,254,185,512,7.798255795231569,195,2.16973528550646,315,1.2317985972356151,18.388175621516545,3.373047817934647,1.6136113957872733,12,6.260011000058054,199.08753270053055,733,6.030153022788443,0.741922382821077,663,0.19002339280649597,59,8.383990884866922,4.866100436893824,5.840191798678459,1.4357213538406572,3.4649977101684772,48,Low,553,150,17,36,-19,410,68,167,165,6.0078649027459265,Nut-Free,Low Carb,3.0615557243996436
Tomato (1 medium),22,1.1,4.8,0.2,1.5,3.2,6,2637,190,506,1.3855140781725168,154,1.5281927762837215,189,0.9587870043087641,9.83890322931175,1.7906708624316403,0.5504955772790491,483,3.967740388368819,70.93216263065636,608,8.735299036592199,0.24795312218209603,340,1.8237572991770463,32,7.76598482196688,9.595534142999,1.4616535381183726,4.239752873637078,8.608416030974757,63,High,246,1,29,35,-6,137,26,170,140,4.753369603582559,Gluten-Free,Paleo,1.8584382512344932
Cucumber (1 medium),16,0.7,3.8,0.1,0.5,1.9,2,1509,82,132,8.0763716507463,153,0.9037288013123232,343,0.9366062236230246,2.200577306215808,1.8213457629194338,2.033178821123426,483,9.092502309172232,193.27165973131218,728,9.556277765479754,0.46422861520710546,507,1.7593936701615636,22,3.2725737369966423,7.326856913968013,2.9714931868899166,0.7555007958729931,0.5388684842716396,111,Medium,121,150,28,18,10,398,70,164,63,5.530698796341889,Shellfish-Free,Vegan,3.495144545291038
Pineapple (1 cup),82,0.9,22.0,0.2,2.3,16.0,1,4157,152,954,14.496243699647833,140,0.7832566929814428,413,0.6093863491525353,12.365562498832043,2.298193302293906,1.8554965210382683,475,5.280669281168117,175.11616516568074,195,6.915868956582263,1.8314125990686712,253,0.9709583031956901,45,6.581974082133667,1.10601751482577,4.823614164647395,1.8356454471845995,9.82090317524288,99,Low,140,150,33,31,2,207,46,65,211,4.947879154881139,Dairy-Free,Vegan,0.5011990777679748
Grapes (1 cup),104,1.1,27.0,0.2,1.4,23.0,2,884,58,148,6.378893981801204,30,2.9945549993366707,168,0.5353400895908678,12.43470062402791,4.335936879061036,0.35253794381514303,233,4.915449956406258,87.47547945132239,845,5.714917445927412,0.13666835123127105,251,0.4101219632947376,85,1.241601865478108,2.1213007087061095,6.91177144577423,0.6245195266210146,9.120343670333027,103,High,598,1,40,20,20,211,80,160,288,6.789352181593252,Dairy-Free,Vegetarian,0.82846912525567
